Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"startApplication(""E:\BFLP IT Batch 9\9. Bootcamp\3. Final Project Mobile\Advantage+demo+3.2.apk"", true)",,,,14-02-2024 00:38:51,14-02-2024 00:39:08,16.963s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView""), 0)",,,,14-02-2024 00:39:08,14-02-2024 00:39:10,2.357s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.LinearLayout""), 0)",,,,14-02-2024 00:39:10,14-02-2024 00:39:12,1.266s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText""), ""yudhatesting2"", 0)",,,,14-02-2024 00:39:12,14-02-2024 00:39:15,2.948s,PASSED
"setText(findTestObject(""Object Repository/4 New Checkout/android.widget.EditText (1)""), ""Dharmayudha2"", 0)",,,,14-02-2024 00:39:15,14-02-2024 00:39:17,2.008s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - LOGIN""), 0)",,,,14-02-2024 00:39:17,14-02-2024 00:39:17,0.656s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:17,14-02-2024 00:39:19,1.888s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (1)""), 0)",,,,14-02-2024 00:39:19,14-02-2024 00:39:20,0.591s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:20,14-02-2024 00:39:20,0.387s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.RelativeLayout""), 0)",,,,14-02-2024 00:39:20,14-02-2024 00:39:25,5.203s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - ADD TO CART""), 0)",,,,14-02-2024 00:39:25,14-02-2024 00:39:26,0.245s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:26,14-02-2024 00:39:26,0.341s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.ImageView (2)""), 0)",,,,14-02-2024 00:39:26,14-02-2024 00:39:28,1.876s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - CHECKOUT (PAY 299.99)""), 0)",,,,14-02-2024 00:39:28,14-02-2024 00:39:29,1.291s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:29,14-02-2024 00:39:30,0.372s,PASSED
"tap(findTestObject(""Object Repository/4 New Checkout/android.widget.Button - PAY NOW""), 0)",,,,14-02-2024 00:39:30,14-02-2024 00:39:33,3.262s,PASSED
hideKeyboard(),,,,14-02-2024 00:39:33,14-02-2024 00:39:33,0.365s,PASSED
delay(5),,,,14-02-2024 00:39:33,14-02-2024 00:39:38,5.008s,PASSED
closeApplication(),,,,14-02-2024 00:39:38,14-02-2024 00:39:40,1.870s,PASSED
Video,,,,14-02-2024 00:39:42,14-02-2024 00:39:42,0.001s,PASSED
